book_chapter,chapter_verse,verse
Genesis 1,Verse 1,1
Genesis 1,Verse 2,2
Genesis 1,Verse 3,3
Genesis 1,Verse 4,4
Genesis 1,Verse 5,5
Genesis 1,Verse 6,6
Genesis 1,Verse 7,7
Genesis 1,Verse 8,8
Genesis 1,Verse 9,9
Genesis 1,Verse 10,10
Genesis 1,Verse 11,11
Genesis 1,Verse 12,12
Genesis 1,Verse 13,13
Genesis 1,Verse 14,14
Genesis 1,Verse 15,15
Genesis 1,Verse 16,16
Genesis 1,Verse 17,17
Genesis 1,Verse 18,18
Genesis 1,Verse 19,19
Genesis 1,Verse 20,20
Genesis 1,Verse 21,21
Genesis 1,Verse 22,22
Genesis 1,Verse 23,23
Genesis 1,Verse 24,24
Genesis 1,Verse 25,25
Genesis 1,Verse 26,26
Genesis 1,Verse 27,27
Genesis 1,Verse 28,28
Genesis 1,Verse 29,29
Genesis 1,Verse 30,30
Genesis 1,Verse 31,31
Genesis 2,Verse 1,1
Genesis 2,Verse 2,2
Genesis 2,Verse 3,3
Genesis 2,Verse 4,4
Genesis 2,Verse 5,5
Genesis 2,Verse 6,6
Genesis 2,Verse 7,7
Genesis 2,Verse 8,8
Genesis 2,Verse 9,9
Genesis 2,Verse 10,10
Genesis 2,Verse 11,11
Genesis 2,Verse 12,12
Genesis 2,Verse 13,13
Genesis 2,Verse 14,14
Genesis 2,Verse 15,15
Genesis 2,Verse 16,16
Genesis 2,Verse 17,17
Genesis 2,Verse 18,18
Genesis 2,Verse 19,19
Genesis 2,Verse 20,20
Genesis 2,Verse 21,21
Genesis 2,Verse 22,22
Genesis 2,Verse 23,23
Genesis 2,Verse 24,24
Genesis 2,Verse 25,25
Genesis 3,Verse 1,1
Genesis 3,Verse 2,2
Genesis 3,Verse 3,3
Genesis 3,Verse 4,4
Genesis 3,Verse 5,5
Genesis 3,Verse 6,6
Genesis 3,Verse 7,7
Genesis 3,Verse 8,8
Genesis 3,Verse 9,9
Genesis 3,Verse 10,10
Genesis 3,Verse 11,11
Genesis 3,Verse 12,12
Genesis 3,Verse 13,13
Genesis 3,Verse 14,14
Genesis 3,Verse 15,15
Genesis 3,Verse 16,16
Genesis 3,Verse 17,17
Genesis 3,Verse 18,18
Genesis 3,Verse 19,19
Genesis 3,Verse 20,20
Genesis 3,Verse 21,21
Genesis 3,Verse 22,22
Genesis 3,Verse 23,23
Genesis 3,Verse 24,24
Genesis 4,Verse 1,1
Genesis 4,Verse 2,2
Genesis 4,Verse 3,3
Genesis 4,Verse 4,4
Genesis 4,Verse 5,5
Genesis 4,Verse 6,6
Genesis 4,Verse 7,7
Genesis 4,Verse 8,8
Genesis 4,Verse 9,9
Genesis 4,Verse 10,10
Genesis 4,Verse 11,11
Genesis 4,Verse 12,12
Genesis 4,Verse 13,13
Genesis 4,Verse 14,14
Genesis 4,Verse 15,15
Genesis 4,Verse 16,16
Genesis 4,Verse 17,17
Genesis 4,Verse 18,18
Genesis 4,Verse 19,19
Genesis 4,Verse 20,20
Genesis 4,Verse 21,21
Genesis 4,Verse 22,22
Genesis 4,Verse 23,23
Genesis 4,Verse 24,24
Genesis 4,Verse 25,25
Genesis 4,Verse 26,26
Genesis 5,Verse 1,1
Genesis 5,Verse 2,2
Genesis 5,Verse 3,3
Genesis 5,Verse 4,4
Genesis 5,Verse 5,5
Genesis 5,Verse 6,6
Genesis 5,Verse 7,7
Genesis 5,Verse 8,8
Genesis 5,Verse 9,9
Genesis 5,Verse 10,10
Genesis 5,Verse 11,11
Genesis 5,Verse 12,12
Genesis 5,Verse 13,13
Genesis 5,Verse 14,14
Genesis 5,Verse 15,15
Genesis 5,Verse 16,16
Genesis 5,Verse 17,17
Genesis 5,Verse 18,18
Genesis 5,Verse 19,19
Genesis 5,Verse 20,20
Genesis 5,Verse 21,21
Genesis 5,Verse 22,22
Genesis 5,Verse 23,23
Genesis 5,Verse 24,24
Genesis 5,Verse 25,25
Genesis 5,Verse 26,26
Genesis 5,Verse 27,27
Genesis 5,Verse 28,28
Genesis 5,Verse 29,29
Genesis 5,Verse 30,30
Genesis 5,Verse 31,31
Genesis 5,Verse 32,32
Genesis 6,Verse 1,1
Genesis 6,Verse 2,2
Genesis 6,Verse 3,3
Genesis 6,Verse 4,4
Genesis 6,Verse 5,5
Genesis 6,Verse 6,6
Genesis 6,Verse 7,7
Genesis 6,Verse 8,8
Genesis 6,Verse 9,9
Genesis 6,Verse 10,10
Genesis 6,Verse 11,11
Genesis 6,Verse 12,12
Genesis 6,Verse 13,13
Genesis 6,Verse 14,14
Genesis 6,Verse 15,15
Genesis 6,Verse 16,16
Genesis 6,Verse 17,17
Genesis 6,Verse 18,18
Genesis 6,Verse 19,19
Genesis 6,Verse 20,20
Genesis 6,Verse 21,21
Genesis 6,Verse 22,22
Genesis 7,Verse 1,1
Genesis 7,Verse 2,2
Genesis 7,Verse 3,3
Genesis 7,Verse 4,4
Genesis 7,Verse 5,5
Genesis 7,Verse 6,6
Genesis 7,Verse 7,7
Genesis 7,Verse 8,8
Genesis 7,Verse 9,9
Genesis 7,Verse 10,10
Genesis 7,Verse 11,11
Genesis 7,Verse 12,12
Genesis 7,Verse 13,13
Genesis 7,Verse 14,14
Genesis 7,Verse 15,15
Genesis 7,Verse 16,16
Genesis 7,Verse 17,17
Genesis 7,Verse 18,18
Genesis 7,Verse 19,19
Genesis 7,Verse 20,20
Genesis 7,Verse 21,21
Genesis 7,Verse 22,22
Genesis 7,Verse 23,23
Genesis 7,Verse 24,24
Genesis 8,Verse 1,1
Genesis 8,Verse 2,2
Genesis 8,Verse 3,3
Genesis 8,Verse 4,4
Genesis 8,Verse 5,5
Genesis 8,Verse 6,6
Genesis 8,Verse 7,7
Genesis 8,Verse 8,8
Genesis 8,Verse 9,9
Genesis 8,Verse 10,10
Genesis 8,Verse 11,11
Genesis 8,Verse 12,12
Genesis 8,Verse 13,13
Genesis 8,Verse 14,14
Genesis 8,Verse 15,15
Genesis 8,Verse 16,16
Genesis 8,Verse 17,17
Genesis 8,Verse 18,18
Genesis 8,Verse 19,19
Genesis 8,Verse 20,20
Genesis 8,Verse 21,21
Genesis 8,Verse 22,22
Genesis 9,Verse 1,1
Genesis 9,Verse 2,2
Genesis 9,Verse 3,3
Genesis 9,Verse 4,4
Genesis 9,Verse 5,5
Genesis 9,Verse 6,6
Genesis 9,Verse 7,7
Genesis 9,Verse 8,8
Genesis 9,Verse 9,9
Genesis 9,Verse 10,10
Genesis 9,Verse 11,11
Genesis 9,Verse 12,12
Genesis 9,Verse 13,13
Genesis 9,Verse 14,14
Genesis 9,Verse 15,15
Genesis 9,Verse 16,16
Genesis 9,Verse 17,17
Genesis 9,Verse 18,18
Genesis 9,Verse 19,19
Genesis 9,Verse 20,20
Genesis 9,Verse 21,21
Genesis 9,Verse 22,22
Genesis 9,Verse 23,23
Genesis 9,Verse 24,24
Genesis 9,Verse 25,25
Genesis 9,Verse 26,26
Genesis 9,Verse 27,27
Genesis 9,Verse 28,28
Genesis 9,Verse 29,29
Genesis 10,Verse 1,1
Genesis 10,Verse 2,2
Genesis 10,Verse 3,3
Genesis 10,Verse 4,4
Genesis 10,Verse 5,5
Genesis 10,Verse 6,6
Genesis 10,Verse 7,7
Genesis 10,Verse 8,8
Genesis 10,Verse 9,9
Genesis 10,Verse 10,10
Genesis 10,Verse 11,11
Genesis 10,Verse 12,12
Genesis 10,Verse 13,13
Genesis 10,Verse 14,14
Genesis 10,Verse 15,15
Genesis 10,Verse 16,16
Genesis 10,Verse 17,17
Genesis 10,Verse 18,18
Genesis 10,Verse 19,19
Genesis 10,Verse 20,20
Genesis 10,Verse 21,21
Genesis 10,Verse 22,22
Genesis 10,Verse 23,23
Genesis 10,Verse 24,24
Genesis 10,Verse 25,25
Genesis 10,Verse 26,26
Genesis 10,Verse 27,27
Genesis 10,Verse 28,28
Genesis 10,Verse 29,29
Genesis 10,Verse 30,30
Genesis 10,Verse 31,31
Genesis 10,Verse 32,32
Genesis 11,Verse 1,1
Genesis 11,Verse 2,2
Genesis 11,Verse 3,3
Genesis 11,Verse 4,4
Genesis 11,Verse 5,5
Genesis 11,Verse 6,6
Genesis 11,Verse 7,7
Genesis 11,Verse 8,8
Genesis 11,Verse 9,9
Genesis 11,Verse 10,10
Genesis 11,Verse 11,11
Genesis 11,Verse 12,12
Genesis 11,Verse 13,13
Genesis 11,Verse 14,14
Genesis 11,Verse 15,15
Genesis 11,Verse 16,16
Genesis 11,Verse 17,17
Genesis 11,Verse 18,18
Genesis 11,Verse 19,19
Genesis 11,Verse 20,20
Genesis 11,Verse 21,21
Genesis 11,Verse 22,22
Genesis 11,Verse 23,23
Genesis 11,Verse 24,24
Genesis 11,Verse 25,25
Genesis 11,Verse 26,26
Genesis 11,Verse 27,27
Genesis 11,Verse 28,28
Genesis 11,Verse 29,29
Genesis 11,Verse 30,30
Genesis 11,Verse 31,31
Genesis 11,Verse 32,32
Genesis 12,Verse 1,1
Genesis 12,Verse 2,2
Genesis 12,Verse 3,3
Genesis 12,Verse 4,4
Genesis 12,Verse 5,5
Genesis 12,Verse 6,6
Genesis 12,Verse 7,7
Genesis 12,Verse 8,8
Genesis 12,Verse 9,9
Genesis 12,Verse 10,10
Genesis 12,Verse 11,11
Genesis 12,Verse 12,12
Genesis 12,Verse 13,13
Genesis 12,Verse 14,14
Genesis 12,Verse 15,15
Genesis 12,Verse 16,16
Genesis 12,Verse 17,17
Genesis 12,Verse 18,18
Genesis 12,Verse 19,19
Genesis 12,Verse 20,20
Genesis 13,Verse 1,1
Genesis 13,Verse 2,2
Genesis 13,Verse 3,3
Genesis 13,Verse 4,4
Genesis 13,Verse 5,5
Genesis 13,Verse 6,6
Genesis 13,Verse 7,7
Genesis 13,Verse 8,8
Genesis 13,Verse 9,9
Genesis 13,Verse 10,10
Genesis 13,Verse 11,11
Genesis 13,Verse 12,12
Genesis 13,Verse 13,13
Genesis 13,Verse 14,14
Genesis 13,Verse 15,15
Genesis 13,Verse 16,16
Genesis 13,Verse 17,17
Genesis 13,Verse 18,18
Genesis 14,Verse 1,1
Genesis 14,Verse 2,2
Genesis 14,Verse 3,3
Genesis 14,Verse 4,4
Genesis 14,Verse 5,5
Genesis 14,Verse 6,6
Genesis 14,Verse 7,7
Genesis 14,Verse 8,8
Genesis 14,Verse 9,9
Genesis 14,Verse 10,10
Genesis 14,Verse 11,11
Genesis 14,Verse 12,12
Genesis 14,Verse 13,13
Genesis 14,Verse 14,14
Genesis 14,Verse 15,15
Genesis 14,Verse 16,16
Genesis 14,Verse 17,17
Genesis 14,Verse 18,18
Genesis 14,Verse 19,19
Genesis 14,Verse 20,20
Genesis 14,Verse 21,21
Genesis 14,Verse 22,22
Genesis 14,Verse 23,23
Genesis 14,Verse 24,24
Genesis 15,Verse 1,1
Genesis 15,Verse 2,2
Genesis 15,Verse 3,3
Genesis 15,Verse 4,4
Genesis 15,Verse 5,5
Genesis 15,Verse 6,6
Genesis 15,Verse 7,7
Genesis 15,Verse 8,8
Genesis 15,Verse 9,9
Genesis 15,Verse 10,10
Genesis 15,Verse 11,11
Genesis 15,Verse 12,12
Genesis 15,Verse 13,13
Genesis 15,Verse 14,14
Genesis 15,Verse 15,15
Genesis 15,Verse 16,16
Genesis 15,Verse 17,17
Genesis 15,Verse 18,18
Genesis 15,Verse 19,19
Genesis 15,Verse 20,20
Genesis 15,Verse 21,21
Genesis 16,Verse 1,1
Genesis 16,Verse 2,2
Genesis 16,Verse 3,3
Genesis 16,Verse 4,4
Genesis 16,Verse 5,5
Genesis 16,Verse 6,6
Genesis 16,Verse 7,7
Genesis 16,Verse 8,8
Genesis 16,Verse 9,9
Genesis 16,Verse 10,10
Genesis 16,Verse 11,11
Genesis 16,Verse 12,12
Genesis 16,Verse 13,13
Genesis 16,Verse 14,14
Genesis 16,Verse 15,15
Genesis 16,Verse 16,16
Genesis 17,Verse 1,1
Genesis 17,Verse 2,2
Genesis 17,Verse 3,3
Genesis 17,Verse 4,4
Genesis 17,Verse 5,5
Genesis 17,Verse 6,6
Genesis 17,Verse 7,7
Genesis 17,Verse 8,8
Genesis 17,Verse 9,9
Genesis 17,Verse 10,10
Genesis 17,Verse 11,11
Genesis 17,Verse 12,12
Genesis 17,Verse 13,13
Genesis 17,Verse 14,14
Genesis 17,Verse 15,15
Genesis 17,Verse 16,16
Genesis 17,Verse 17,17
Genesis 17,Verse 18,18
Genesis 17,Verse 19,19
Genesis 17,Verse 20,20
Genesis 17,Verse 21,21
Genesis 17,Verse 22,22
Genesis 17,Verse 23,23
Genesis 17,Verse 24,24
Genesis 17,Verse 25,25
Genesis 17,Verse 26,26
Genesis 17,Verse 27,27
Genesis 18,Verse 1,1
Genesis 18,Verse 2,2
Genesis 18,Verse 3,3
Genesis 18,Verse 4,4
Genesis 18,Verse 5,5
Genesis 18,Verse 6,6
Genesis 18,Verse 7,7
Genesis 18,Verse 8,8
Genesis 18,Verse 9,9
Genesis 18,Verse 10,10
Genesis 18,Verse 11,11
Genesis 18,Verse 12,12
Genesis 18,Verse 13,13
Genesis 18,Verse 14,14
Genesis 18,Verse 15,15
Genesis 18,Verse 16,16
Genesis 18,Verse 17,17
Genesis 18,Verse 18,18
Genesis 18,Verse 19,19
Genesis 18,Verse 20,20
Genesis 18,Verse 21,21
Genesis 18,Verse 22,22
Genesis 18,Verse 23,23
Genesis 18,Verse 24,24
Genesis 18,Verse 25,25
Genesis 18,Verse 26,26
Genesis 18,Verse 27,27
Genesis 18,Verse 28,28
Genesis 18,Verse 29,29
Genesis 18,Verse 30,30
Genesis 18,Verse 31,31
Genesis 18,Verse 32,32
Genesis 18,Verse 33,33
Genesis 19,Verse 1,1
Genesis 19,Verse 2,2
Genesis 19,Verse 3,3
Genesis 19,Verse 4,4
Genesis 19,Verse 5,5
Genesis 19,Verse 6,6
Genesis 19,Verse 7,7
Genesis 19,Verse 8,8
Genesis 19,Verse 9,9
Genesis 19,Verse 10,10
Genesis 19,Verse 11,11
Genesis 19,Verse 12,12
Genesis 19,Verse 13,13
Genesis 19,Verse 14,14
Genesis 19,Verse 15,15
Genesis 19,Verse 16,16
Genesis 19,Verse 17,17
Genesis 19,Verse 18,18
Genesis 19,Verse 19,19
Genesis 19,Verse 20,20
Genesis 19,Verse 21,21
Genesis 19,Verse 22,22
Genesis 19,Verse 23,23
Genesis 19,Verse 24,24
Genesis 19,Verse 25,25
Genesis 19,Verse 26,26
Genesis 19,Verse 27,27
Genesis 19,Verse 28,28
Genesis 19,Verse 29,29
Genesis 19,Verse 30,30
Genesis 19,Verse 31,31
Genesis 19,Verse 32,32
Genesis 19,Verse 33,33
Genesis 19,Verse 34,34
Genesis 19,Verse 35,35
Genesis 19,Verse 36,36
Genesis 19,Verse 37,37
Genesis 19,Verse 38,38
Genesis 20,Verse 1,1
Genesis 20,Verse 2,2
Genesis 20,Verse 3,3
Genesis 20,Verse 4,4
Genesis 20,Verse 5,5
Genesis 20,Verse 6,6
Genesis 20,Verse 7,7
Genesis 20,Verse 8,8
Genesis 20,Verse 9,9
Genesis 20,Verse 10,10
Genesis 20,Verse 11,11
Genesis 20,Verse 12,12
Genesis 20,Verse 13,13
Genesis 20,Verse 14,14
Genesis 20,Verse 15,15
Genesis 20,Verse 16,16
Genesis 20,Verse 17,17
Genesis 20,Verse 18,18
Genesis 21,Verse 1,1
Genesis 21,Verse 2,2
Genesis 21,Verse 3,3
Genesis 21,Verse 4,4
Genesis 21,Verse 5,5
Genesis 21,Verse 6,6
Genesis 21,Verse 7,7
Genesis 21,Verse 8,8
Genesis 21,Verse 9,9
Genesis 21,Verse 10,10
Genesis 21,Verse 11,11
Genesis 21,Verse 12,12
Genesis 21,Verse 13,13
Genesis 21,Verse 14,14
Genesis 21,Verse 15,15
Genesis 21,Verse 16,16
Genesis 21,Verse 17,17
Genesis 21,Verse 18,18
Genesis 21,Verse 19,19
Genesis 21,Verse 20,20
Genesis 21,Verse 21,21
Genesis 21,Verse 22,22
Genesis 21,Verse 23,23
Genesis 21,Verse 24,24
Genesis 21,Verse 25,25
Genesis 21,Verse 26,26
Genesis 21,Verse 27,27
Genesis 21,Verse 28,28
Genesis 21,Verse 29,29
Genesis 21,Verse 30,30
Genesis 21,Verse 31,31
Genesis 21,Verse 32,32
Genesis 21,Verse 33,33
Genesis 21,Verse 34,34
Genesis 22,Verse 1,1
Genesis 22,Verse 2,2
Genesis 22,Verse 3,3
Genesis 22,Verse 4,4
Genesis 22,Verse 5,5
Genesis 22,Verse 6,6
Genesis 22,Verse 7,7
Genesis 22,Verse 8,8
Genesis 22,Verse 9,9
Genesis 22,Verse 10,10
Genesis 22,Verse 11,11
Genesis 22,Verse 12,12
Genesis 22,Verse 13,13
Genesis 22,Verse 14,14
Genesis 22,Verse 15,15
Genesis 22,Verse 16,16
Genesis 22,Verse 17,17
Genesis 22,Verse 18,18
Genesis 22,Verse 19,19
Genesis 22,Verse 20,20
Genesis 22,Verse 21,21
Genesis 22,Verse 22,22
Genesis 22,Verse 23,23
Genesis 22,Verse 24,24
Genesis 23,Verse 1,1
Genesis 23,Verse 2,2
Genesis 23,Verse 3,3
Genesis 23,Verse 4,4
Genesis 23,Verse 5,5
Genesis 23,Verse 6,6
Genesis 23,Verse 7,7
Genesis 23,Verse 8,8
Genesis 23,Verse 9,9
Genesis 23,Verse 10,10
Genesis 23,Verse 11,11
Genesis 23,Verse 12,12
Genesis 23,Verse 13,13
Genesis 23,Verse 14,14
Genesis 23,Verse 15,15
Genesis 23,Verse 16,16
Genesis 23,Verse 17,17
Genesis 23,Verse 18,18
Genesis 23,Verse 19,19
Genesis 23,Verse 20,20
Genesis 24,Verse 1,1
Genesis 24,Verse 2,2
Genesis 24,Verse 3,3
Genesis 24,Verse 4,4
Genesis 24,Verse 5,5
Genesis 24,Verse 6,6
Genesis 24,Verse 7,7
Genesis 24,Verse 8,8
Genesis 24,Verse 9,9
Genesis 24,Verse 10,10
Genesis 24,Verse 11,11
Genesis 24,Verse 12,12
Genesis 24,Verse 13,13
Genesis 24,Verse 14,14
Genesis 24,Verse 15,15
Genesis 24,Verse 16,16
Genesis 24,Verse 17,17
Genesis 24,Verse 18,18
Genesis 24,Verse 19,19
Genesis 24,Verse 20,20
Genesis 24,Verse 21,21
Genesis 24,Verse 22,22
Genesis 24,Verse 23,23
Genesis 24,Verse 24,24
Genesis 24,Verse 25,25
Genesis 24,Verse 26,26
Genesis 24,Verse 27,27
Genesis 24,Verse 28,28
Genesis 24,Verse 29,29
Genesis 24,Verse 30,30
Genesis 24,Verse 31,31
Genesis 24,Verse 32,32
Genesis 24,Verse 33,33
Genesis 24,Verse 34,34
Genesis 24,Verse 35,35
Genesis 24,Verse 36,36
Genesis 24,Verse 37,37
Genesis 24,Verse 38,38
Genesis 24,Verse 39,39
Genesis 24,Verse 40,40
Genesis 24,Verse 41,41
Genesis 24,Verse 42,42
Genesis 24,Verse 43,43
Genesis 24,Verse 44,44
Genesis 24,Verse 45,45
Genesis 24,Verse 46,46
Genesis 24,Verse 47,47
Genesis 24,Verse 48,48
Genesis 24,Verse 49,49
Genesis 24,Verse 50,50
Genesis 24,Verse 51,51
Genesis 24,Verse 52,52
Genesis 24,Verse 53,53
Genesis 24,Verse 54,54
Genesis 24,Verse 55,55
Genesis 24,Verse 56,56
Genesis 24,Verse 57,57
Genesis 24,Verse 58,58
Genesis 24,Verse 59,59
Genesis 24,Verse 60,60
Genesis 24,Verse 61,61
Genesis 24,Verse 62,62
Genesis 24,Verse 63,63
Genesis 24,Verse 64,64
Genesis 24,Verse 65,65
Genesis 24,Verse 66,66
Genesis 24,Verse 67,67
Genesis 25,Verse 1,1
Genesis 25,Verse 2,2
Genesis 25,Verse 3,3
Genesis 25,Verse 4,4
Genesis 25,Verse 5,5
Genesis 25,Verse 6,6
Genesis 25,Verse 7,7
Genesis 25,Verse 8,8
Genesis 25,Verse 9,9
Genesis 25,Verse 10,10
Genesis 25,Verse 11,11
Genesis 25,Verse 12,12
Genesis 25,Verse 13,13
Genesis 25,Verse 14,14
Genesis 25,Verse 15,15
Genesis 25,Verse 16,16
Genesis 25,Verse 17,17
Genesis 25,Verse 18,18
Genesis 25,Verse 19,19
Genesis 25,Verse 20,20
Genesis 25,Verse 21,21
Genesis 25,Verse 22,22
Genesis 25,Verse 23,23
Genesis 25,Verse 24,24
Genesis 25,Verse 25,25
Genesis 25,Verse 26,26
Genesis 25,Verse 27,27
Genesis 25,Verse 28,28
Genesis 25,Verse 29,29
Genesis 25,Verse 30,30
Genesis 25,Verse 31,31
Genesis 25,Verse 32,32
Genesis 25,Verse 33,33
Genesis 25,Verse 34,34
Genesis 26,Verse 1,1
Genesis 26,Verse 2,2
Genesis 26,Verse 3,3
Genesis 26,Verse 4,4
Genesis 26,Verse 5,5
Genesis 26,Verse 6,6
Genesis 26,Verse 7,7
Genesis 26,Verse 8,8
Genesis 26,Verse 9,9
Genesis 26,Verse 10,10
Genesis 26,Verse 11,11
Genesis 26,Verse 12,12
Genesis 26,Verse 13,13
Genesis 26,Verse 14,14
Genesis 26,Verse 15,15
Genesis 26,Verse 16,16
Genesis 26,Verse 17,17
Genesis 26,Verse 18,18
Genesis 26,Verse 19,19
Genesis 26,Verse 20,20
Genesis 26,Verse 21,21
Genesis 26,Verse 22,22
Genesis 26,Verse 23,23
Genesis 26,Verse 24,24
Genesis 26,Verse 25,25
Genesis 26,Verse 26,26
Genesis 26,Verse 27,27
Genesis 26,Verse 28,28
Genesis 26,Verse 29,29
Genesis 26,Verse 30,30
Genesis 26,Verse 31,31
Genesis 26,Verse 32,32
Genesis 26,Verse 33,33
Genesis 26,Verse 34,34
Genesis 26,Verse 35,35
Genesis 27,Verse 1,1
Genesis 27,Verse 2,2
Genesis 27,Verse 3,3
Genesis 27,Verse 4,4
Genesis 27,Verse 5,5
Genesis 27,Verse 6,6
Genesis 27,Verse 7,7
Genesis 27,Verse 8,8
Genesis 27,Verse 9,9
Genesis 27,Verse 10,10
Genesis 27,Verse 11,11
Genesis 27,Verse 12,12
Genesis 27,Verse 13,13
Genesis 27,Verse 14,14
Genesis 27,Verse 15,15
Genesis 27,Verse 16,16
Genesis 27,Verse 17,17
Genesis 27,Verse 18,18
Genesis 27,Verse 19,19
Genesis 27,Verse 20,20
Genesis 27,Verse 21,21
Genesis 27,Verse 22,22
Genesis 27,Verse 23,23
Genesis 27,Verse 24,24
Genesis 27,Verse 25,25
Genesis 27,Verse 26,26
Genesis 27,Verse 27,27
Genesis 27,Verse 28,28
Genesis 27,Verse 29,29
Genesis 27,Verse 30,30
Genesis 27,Verse 31,31
Genesis 27,Verse 32,32
Genesis 27,Verse 33,33
Genesis 27,Verse 34,34
Genesis 27,Verse 35,35
Genesis 27,Verse 36,36
Genesis 27,Verse 37,37
Genesis 27,Verse 38,38
Genesis 27,Verse 39,39
Genesis 27,Verse 40,40
Genesis 27,Verse 41,41
Genesis 27,Verse 42,42
Genesis 27,Verse 43,43
Genesis 27,Verse 44,44
Genesis 27,Verse 45,45
Genesis 27,Verse 46,46
Genesis 28,Verse 1,1
Genesis 28,Verse 2,2
Genesis 28,Verse 3,3
Genesis 28,Verse 4,4
Genesis 28,Verse 5,5
Genesis 28,Verse 6,6
Genesis 28,Verse 7,7
Genesis 28,Verse 8,8
Genesis 28,Verse 9,9
Genesis 28,Verse 10,10
Genesis 28,Verse 11,11
Genesis 28,Verse 12,12
Genesis 28,Verse 13,13
Genesis 28,Verse 14,14
Genesis 28,Verse 15,15
Genesis 28,Verse 16,16
Genesis 28,Verse 17,17
Genesis 28,Verse 18,18
Genesis 28,Verse 19,19
Genesis 28,Verse 20,20
Genesis 28,Verse 21,21
Genesis 28,Verse 22,22
Genesis 29,Verse 1,1
Genesis 29,Verse 2,2
Genesis 29,Verse 3,3
Genesis 29,Verse 4,4
Genesis 29,Verse 5,5
Genesis 29,Verse 6,6
Genesis 29,Verse 7,7
Genesis 29,Verse 8,8
Genesis 29,Verse 9,9
Genesis 29,Verse 10,10
Genesis 29,Verse 11,11
Genesis 29,Verse 12,12
Genesis 29,Verse 13,13
Genesis 29,Verse 14,14
Genesis 29,Verse 15,15
Genesis 29,Verse 16,16
Genesis 29,Verse 17,17
Genesis 29,Verse 18,18
Genesis 29,Verse 19,19
Genesis 29,Verse 20,20
Genesis 29,Verse 21,21
Genesis 29,Verse 22,22
Genesis 29,Verse 23,23
Genesis 29,Verse 24,24
Genesis 29,Verse 25,25
Genesis 29,Verse 26,26
Genesis 29,Verse 27,27
Genesis 29,Verse 28,28
Genesis 29,Verse 29,29
Genesis 29,Verse 30,30
Genesis 29,Verse 31,31
Genesis 29,Verse 32,32
Genesis 29,Verse 33,33
Genesis 29,Verse 34,34
Genesis 29,Verse 35,35
Genesis 30,Verse 1,1
Genesis 30,Verse 2,2
Genesis 30,Verse 3,3
Genesis 30,Verse 4,4
Genesis 30,Verse 5,5
Genesis 30,Verse 6,6
Genesis 30,Verse 7,7
Genesis 30,Verse 8,8
Genesis 30,Verse 9,9
Genesis 30,Verse 10,10
Genesis 30,Verse 11,11
Genesis 30,Verse 12,12
Genesis 30,Verse 13,13
Genesis 30,Verse 14,14
Genesis 30,Verse 15,15
Genesis 30,Verse 16,16
Genesis 30,Verse 17,17
Genesis 30,Verse 18,18
Genesis 30,Verse 19,19
Genesis 30,Verse 20,20
Genesis 30,Verse 21,21
Genesis 30,Verse 22,22
Genesis 30,Verse 23,23
Genesis 30,Verse 24,24
Genesis 30,Verse 25,25
Genesis 30,Verse 26,26
Genesis 30,Verse 27,27
Genesis 30,Verse 28,28
Genesis 30,Verse 29,29
Genesis 30,Verse 30,30
Genesis 30,Verse 31,31
Genesis 30,Verse 32,32
Genesis 30,Verse 33,33
Genesis 30,Verse 34,34
Genesis 30,Verse 35,35
Genesis 30,Verse 36,36
Genesis 30,Verse 37,37
Genesis 30,Verse 38,38
Genesis 30,Verse 39,39
Genesis 30,Verse 40,40
Genesis 30,Verse 41,41
Genesis 30,Verse 42,42
Genesis 30,Verse 43,43
Genesis 31,Verse 1,1
Genesis 31,Verse 2,2
Genesis 31,Verse 3,3
Genesis 31,Verse 4,4
Genesis 31,Verse 5,5
Genesis 31,Verse 6,6
Genesis 31,Verse 7,7
Genesis 31,Verse 8,8
Genesis 31,Verse 9,9
Genesis 31,Verse 10,10
Genesis 31,Verse 11,11
Genesis 31,Verse 12,12
Genesis 31,Verse 13,13
Genesis 31,Verse 14,14
Genesis 31,Verse 15,15
Genesis 31,Verse 16,16
Genesis 31,Verse 17,17
Genesis 31,Verse 18,18
Genesis 31,Verse 19,19
Genesis 31,Verse 20,20
Genesis 31,Verse 21,21
Genesis 31,Verse 22,22
Genesis 31,Verse 23,23
Genesis 31,Verse 24,24
Genesis 31,Verse 25,25
Genesis 31,Verse 26,26
Genesis 31,Verse 27,27
Genesis 31,Verse 28,28
Genesis 31,Verse 29,29
Genesis 31,Verse 30,30
Genesis 31,Verse 31,31
Genesis 31,Verse 32,32
Genesis 31,Verse 33,33
Genesis 31,Verse 34,34
Genesis 31,Verse 35,35
Genesis 31,Verse 36,36
Genesis 31,Verse 37,37
Genesis 31,Verse 38,38
Genesis 31,Verse 39,39
Genesis 31,Verse 40,40
Genesis 31,Verse 41,41
Genesis 31,Verse 42,42
Genesis 31,Verse 43,43
Genesis 31,Verse 44,44
Genesis 31,Verse 45,45
Genesis 31,Verse 46,46
Genesis 31,Verse 47,47
Genesis 31,Verse 48,48
Genesis 31,Verse 49,49
Genesis 31,Verse 50,50
Genesis 31,Verse 51,51
Genesis 31,Verse 52,52
Genesis 31,Verse 53,53
Genesis 31,Verse 54,54
Genesis 31,Verse 55,55
Genesis 32,Verse 1,1
Genesis 32,Verse 2,2
Genesis 32,Verse 3,3
