sid,test,subname,parent_title,sub_title,catid,description
110,,Heretical,Church History [12],Heretical [110],12,""
111,,2. General,Ancient Egypt [24],2. General [111],24,Various Topics
112,,Egypt,Museums [25],Egypt [112],25,""
113,Adam+and+Eve,Adam and Eve,Prof. Societies [32],Adam and Eve [113],32,
114,,General Resources,World History [21],General Resources [114],21,""
115,,1. Previous List,Ancient Documents [16],1. Previous List [115],16,""
116,,1. Previous List,Ancient Egypt [24],1. Previous List [116],24,""
117,,1. Previous List,Ancient Rome [1],1. Previous List [117],1,""
118,,1. Previous List,Ancient Greece [3],1. Previous List [118],3,""
119,,1. Previous List,Ancient Near East [5],1. Previous List [119],5,""
120,,1. Previous List,Ancient Israel [2],1. Previous List [120],2,""
121,,1. Previous List,Ancient Other [26],1. Previous List [121],26,""
122,,1. Previous List,Archaeology [4],1. Previous List [122],4,""
123,,1. Previous List,Bible History [13],1. Previous List [123],13,""
124,,1. Previous List,Church History [12],1. Previous List [124],12,""
125,,1. Previous List,Evolution & Science [18],1. Previous List [125],18,""
126,,1. Previous List,Images & Art [6],1. Previous List [126],6,""
127,,1. Previous List,Intertestamental [14],1. Previous List [127],14,""
128,,1. Previous List,Jesus [19],1. Previous List [128],19,""
129,,1. Previous List,Languages [20],1. Previous List [129],20,""
130,,1. Previous List,Maps & Geography [22],1. Previous List [130],22,""
131,,1. Previous List,Museums [25],1. Previous List [131],25,""
132,1.+Previous+List,1. Previous List,Mythology & Beliefs [30],1. Previous List [132],30,
134,1.+Previous+List,1. Previous List,People in History [31],1. Previous List [134],31,
135,Creation,Creation,Prof. Societies [32],Creation [135],32,
136,,1. Previous List,Weapons & Warfare [29],1. Previous List [136],29,""
137,,1. Previous List,Childrens Resources [33],1. Previous List [137],33,""
138,,Coins,Archaeology [4],Coins [138],4,""
139,,Bible Versions,Bible History [13],Bible Versions [139],13,""
140,,Science & Scripture,Evolution & Science [18],Science & Scripture [140],18,""
141,,Famous Battles,Ancient Greece [3],Famous Battles [141],3,""
143,,Images and Art,Jesus [19],Images and Art [143],19,""
144,,Bible Translation,Bible History [13],Bible Translation [144],13,""
145,,Glossaries,Bible History [13],Glossaries [145],13,""
146,,Creeds,Church History [12],Creeds [146],12,""
147,,Encyclopedias,Bible History [13],Encyclopedias [147],13,""
148,,Linguistics,Languages [20],Linguistics [148],20,""
149,,General,Archaeology [4],General [149],4,""
150,The+Flood,The Flood,Prof. Societies [32],The Flood [150],32,
151,,General,Church History [12],General [151],12,""
152,,Great Tools,Study Tools [34],Great Tools [152],34,""
153,,Answers,Church History [12],Answers [153],12,""
154,,Philosophy,Bible History [13],Philosophy [154],13,""
155,,Apologetics Sites,Bible History [13],Apologetics Sites [155],13,""
156,,Coins,Ancient Rome [1],Coins [156],1,""
157,,Coins,Ancient Greece [3],Coins [157],3,""
158,,Coins,Ancient Near East [5],Coins [158],5,""
160,,Coins,Ancient Egypt [24],Coins [160],24,""
161,,Coins,Ancient Israel [2],Coins [161],2,""
186,,Childrens,Ancient Rome [1],Childrens [186],1,""
205,,Early Writing,Languages [20],Early Writing [205],20,""
206,,Coins,Bible History [13],Coins [206],13,""
207,,Rome,Childrens Resources [33],Rome [207],33,""
208,,Greece,Childrens Resources [33],Greece [208],33,""
209,,Egypt,Childrens Resources [33],Egypt [209],33,""
210,,Bible,Childrens Resources [33],Bible [210],33,""
211,,Near East,Childrens Resources [33],Near East [211],33,""
